CASENAME,COMN,Similarity,token_sort_ratio
AMERICAN ELECTRIC POWER,AMERICAN ELECTRIC POWER CO,1,1
AMERICAN ELECTRIC POWER COMPANY,AMERICAN ELECTRIC POWER CO,1,1
AMERICAN ELECTRIC POWER SERVICE CORP.,AMERICAN ELECTRIC POWER CO,1,1
AMERICAN FREIGHTWAYS,AMERICAN FREIGHTWAYS CORP,1,1
"AMERICAN FREIGHTWAYS, INC.",AMERICAN FREIGHTWAYS CORP,1,1
AMERICAN INC,AMERICAN SERVICE CORP,1,1
AMERICAN INDUSTRIES CO,AMERICAN INDUSTRIES LTD,1,1
AMERICAN MEDICAL RESPONSE,AMERICAN MEDICAL RESPONSE,1,1
"AMERICAN MEDICAL RESPONSE, INC.",AMERICAN MEDICAL RESPONSE,1,1
"AMERICAN MICROSYSTEMS, INC.",AMERICAN MICROSYSTEMS,1,1
AMERICAN MOTOR INNS,AMERICAN MOTOR INNS,1,1
AMERICAN MOTORS CORP,AMERICAN MOTORS CORP,1,1
AMERICAN SAFETY RAZOR CO.,AMERICAN SAFETY RAZOR,1,1
AMERICAN SERVICES CORPORATION,AMERICAN SERVICE CORP,1,1
AMERICAN STANDARD INC,AMERICAN STANDARD INC,1,1
AMERICAN STEEL & WIRE CORPORATION,AMERICAN STEEL & WIRE CORP,1,1
AMERICAN STERILIZER CO INC,AMERICAN STERILIZER CO,1,1
AMERICAN STORES CO INC,AMERICAN STORES CO,1,1
AMERICAN TISSUE,AMERICAN TISSUE INC,1,1
AMERICAN WOODMARK CORP.,AMERICAN WOODMARK CORP,1,1
AMERICAN WOODMARK CORPORATION,AMERICAN WOODMARK CORP,1,1
AMERICARE CORP,AMERICARE CORP,1,1
AMERICOLD,AMERICOLD CORP,1,1
AMERICOLD CORP.,AMERICOLD CORP,1,1
AMERICOLD CORPORATION,AMERICOLD CORP,1,1
"AMERICOLD SERVICES, INC.",AMERICOLD CORP,1,1
AMERISTEEL,AMERISTEEL CORP,1,1
"AMERITECH SERVICES, INC.",AMERITECH CORP,1,1
AMERON INTERNATIONAL,AMERON INTERNATIONAL CORP,1,1
AMETEK INC,AMETEK INC,1,1
AMF BOWLING,AMF BOWLING INC,1,1
AMF Bowling,AMF BOWLING INC,1,1
AMF CORP.,AMF INC,1,1
AMFAC INC,AMFAC INC,1,1
AMOCO CORP.,AMOCO CO,1,1
AMOCO CORPORATION,AMOCO CO,1,1
AMPAD CORP.,AMPAD CORP,1,1
AMPAD CORPORATION,AMPAD CORP,1,1
AMPEX CORP.,AMPEX CORP,1,1
ANACONDA CO,ANACONDA CO,1,1
ANC Rental Corporation,ANC RENTAL CORP,1,1
ANCHOR COUPLING CO INC,ANCHOR COUPLING INC,1,1
ANCHOR GLASS CONTAINER CORP,ANCHOR GLASS CONTAINER CORP,1,1
ANCHOR GLASS CONTAINER CORP.,ANCHOR GLASS CONTAINER CORP,1,1
ANDERSON GREENWOOD & CO,ANDERSON GREENWOOD & CO,1,1
ANDREW INC.,ANDREW CORP,1,1
"ANDREW, INC.",ANDREW CORP,1,1
ANGELICA CORP.,ANGELICA CORP,1,1
ANGELICA CORPORATION,ANGELICA CORP,1,1
"ANGELICA, INC.",ANGELICA CORP,1,1
ANIXTER BROS. INC.,ANIXTER BROS INC,1,1
AOI COAL COMPANY,AOI COAL CO,1,1
APPALACHIAN POWER CO,APPALACHIAN POWER,1,1
APPALACHIAN POWER CO.,APPALACHIAN POWER,1,1
APPALACHIAN POWER COMPANY,APPALACHIAN POWER,1,1
"APRIA HEALTHCARE GROUP, INC.",APRIA HEALTHCARE GROUP INC,1,1
"AQUA-CHEM, INC.",AQUA-CHEM INC,1,1
ARAMARK,ARAMARK,1,1
ARAMARK CORP.,ARAMARK,1,1
ARAMARK CORPORATION,ARAMARK,1,1
"ARAMARK CORPORATION, INC.",ARAMARK,1,1
ARAMARK INC.,ARAMARK,1,1
ARAMARK SERVICES,ARAMARK,1,1
"ARAMARK SERVICES, INC.",ARAMARK,1,1
"ARAMARK Services, Inc.",ARAMARK,1,1
"ARBOR DRUGS, INC.",ARBOR DRUGS INC,1,1
ARCHER-DANIELS-MIDLAND CO.,ARCHER-DANIELS-MIDLAND CO,1,1
ARCHIBALD CANDY COMPANY,ARCHIBALD CANDY CORP,1,1
ARCHIBALD CANDY CORPORATION,ARCHIBALD CANDY CORP,1,1
ARCO CHEMICAL COMPANY,ARCO CHEMICAL CO,1,1
ARGO-TECH CORP.,ARGO-TECH CORP,1,1
ARISTECH CHEMICAL CORP.,ARISTECH CHEMICAL CORP,1,1
ARIZONA PUBLIC SERVICE,ARIZONA PUBLIC SERVICE CO,1,1
ARIZONA PUBLIC SERVICE COMPANY,ARIZONA PUBLIC SERVICE CO,1,1
"ARMCO, INC.",ARMCO INC,1,1
ARMOUR & CO,ARMOUR & CO,1,1
ARMSTRONG WORLD INDUSTRIES,ARMSTRONG WORLD INDUSTRIES,1,1
